mode,n_rules,n_packets,comp_base_mean,comp_base_std,comp_aflp_mean,comp_aflp_std,time_base_mean_ms,time_base_std_ms,time_aflp_mean_ms,time_aflp_std_ms,comp_improve_pct,time_improve_pct,avg_reorder_count
periodic,11,10000,14.8061,0.0,13.3154,0.0023,70.237,6.766,76.032,6.72,10.07,-8.25,10.0
threshold,11,10000,14.8061,0.0,14.057,0.4988,69.129,8.587,188.444,69.32,5.06,-172.6,6998.6
ondemand,11,10000,14.8061,0.0,13.3146,0.0,66.082,4.774,73.208,4.836,10.07,-10.78,1.0
periodic,11,100000,14.8081,0.0,13.3162,0.0008,698.056,29.532,763.134,35.079,10.07,-9.32,10.0
threshold,11,100000,14.8081,0.0,14.1646,0.5344,697.765,36.008,1720.468,687.994,4.35,-146.57,59998.7
ondemand,11,100000,14.8081,0.0,13.3164,0.0,684.49,21.779,759.084,44.419,10.07,-10.9,1.0
periodic,51,10000,54.8814,0.0,27.4539,0.0035,104.995,7.831,89.555,8.457,49.98,14.71,10.0
threshold,51,10000,54.8814,0.0,47.0677,11.2392,109.314,9.683,277.072,213.059,14.24,-153.46,3332.7
ondemand,51,10000,54.8814,0.0,36.3081,0.0,106.027,7.432,97.771,6.529,33.84,7.79,1.0
periodic,51,100000,54.8804,0.0,27.4518,0.0011,1097.689,53.056,899.197,38.493,49.98,18.08,10.0
threshold,51,100000,54.8804,0.0,40.0747,11.458,1108.081,53.379,4115.396,2168.661,26.98,-271.4,63332.3
ondemand,51,100000,54.8804,0.0,36.3021,0.0,1084.957,33.351,995.476,36.007,33.85,8.25,1.0
periodic,101,10000,104.8979,0.0,40.3112,0.003,159.489,15.067,104.71,12.073,61.57,34.35,10.0
threshold,101,10000,104.8979,0.0,81.6257,28.9899,156.708,11.764,485.56,385.051,22.19,-209.85,3998.9
ondemand,101,10000,104.8979,0.0,62.3747,0.0,159.094,13.57,123.793,11.827,40.54,22.19,1.0
periodic,101,100000,104.894,0.0,40.3008,0.001,1594.653,59.042,1025.746,34.646,61.58,35.68,10.0
threshold,101,100000,104.894,0.0,72.0265,29.2332,1580.044,48.426,6292.461,4033.803,31.33,-298.25,56665.5
ondemand,101,100000,104.894,0.0,62.3608,0.0,1576.984,65.33,1263.412,61.679,40.55,19.88,1.0
periodic,201,10000,204.896,0.0,63.9896,0.0028,256.215,18.203,131.999,12.807,68.77,48.48,10.0
threshold,201,10000,204.896,0.0,144.8751,65.2621,262.041,21.31,1085.959,867.107,29.29,-314.42,4665.5
ondemand,201,10000,204.896,0.0,113.1699,0.0,269.098,55.975,183.016,40.27,44.77,31.99,1.0
periodic,201,100000,204.8926,0.0,63.983,0.0007,2454.299,121.625,1223.653,73.873,68.77,50.14,10.0
threshold,201,100000,204.8926,0.0,140.7146,65.2751,2590.023,213.776,10827.28,8169.795,31.32,-318.04,49999.1
ondemand,201,100000,204.8926,0.0,113.1582,0.0,2539.985,181.727,1790.119,130.081,44.77,29.52,1.0
